".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"ratio","Repo Control","Repo>Lac RNAi",40,32,1.64438986495348,0.100095697273144,0.400382789092577,"ns"
"ratio","Repo Control","Mdr65 Control",40,40,2.24917350530226,0.0245014594248478,0.122507297124239,"ns"
"ratio","Repo Control","Mdr65>Lac RNAi",40,38,3.42274346394476,0.000619925536835202,0.00371955322101121,"**"
"ratio","Repo>Lac RNAi","Mdr65 Control",32,40,0.476151251932307,0.633966625986252,0.633966625986252,"ns"
"ratio","Repo>Lac RNAi","Mdr65>Lac RNAi",32,38,1.60611198327926,0.108249307401245,0.400382789092577,"ns"
"ratio","Mdr65 Control","Mdr65>Lac RNAi",40,38,1.20259276818027,0.22913394758333,0.45826789516666,"ns"
