".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"mean_speed_real_units","OK6-GAL4 > Lac RNAi","OK6-GAL4 Control",42,42,2.43332867393087,0.0149607136602661,0.0149607136602661,"*"
"index_straightness","OK6-GAL4 > Lac RNAi","OK6-GAL4 Control",42,42,2.12021652838829,0.0339877891675149,0.0339877891675149,"*"
"DC","OK6-GAL4 > Lac RNAi","OK6-GAL4 Control",42,42,-3.08639114891967,0.00202602111177016,0.00202602111177016,"**"
"SDDC","OK6-GAL4 > Lac RNAi","OK6-GAL4 Control",42,42,-1.35085525648368,0.176741803460793,0.176741803460793,"ns"
