C1,C2,C3,C4,C5,C6,C7
40,1,330,577,-1.000,-1.000,-12370125
40,2,311,552,4.051,4.051,-12502239
40,3,308,542,1.347,1.347,-12435415
40,4,306,535,0.939,0.939,-12106966
40,5,307,532,0.408,0.408,-12041938
40,6,307,526,0.774,0.774,-11450580
40,7,302,519,1.110,1.110,-8427460
40,8,302,517,0.258,0.258,-8098754
40,9,301,512,0.658,0.658,-8492999
40,10,299,504,1.064,1.064,-7834812
40,11,302,497,0.982,0.982,-7966655
40,12,302,491,0.774,0.774,-8164286
40,13,300,486,0.695,0.695,-8558533
40,14,298,477,1.189,1.189,-11844305
40,15,297,473,0.532,0.532,-11318224
40,16,297,466,0.903,0.903,-11318476
40,17,297,458,1.032,1.032,-11646928
40,18,300,450,1.102,1.102,-12041427
40,19,302,442,1.064,1.064,-11713232
40,20,304,436,0.816,0.816,-9017788
40,21,301,434,0.465,0.465,-8888522
40,22,307,427,1.189,1.189,-7835580
40,23,304,417,1.347,1.347,-7967936
40,24,308,410,1.040,1.040,-7769791
40,25,310,403,0.939,0.939,-7704766
40,26,313,405,0.465,0.465,-7375801
40,27,314,396,1.168,1.168,-11123680
40,28,317,388,1.102,1.102,-11186638
40,29,322,382,1.008,1.008,-11515853
40,30,326,375,1.040,1.040,-10988737
40,31,329,370,0.752,0.752,-11777738
40,32,332,368,0.465,0.465,-10528958
40,33,338,362,1.095,1.095,-10594491
40,34,342,356,0.930,0.930,-10922946
40,35,346,347,1.271,1.271,-11514566
40,36,351,346,0.658,0.658,-11383756
40,37,362,343,1.471,1.471,-10265526
40,38,355,343,0.903,0.903,-9477303
40,39,354,342,0.182,0.182,-9476790
40,40,369,346,2.003,2.003,-11252421
40,41,376,346,0.903,0.903,-10002355
40,42,380,348,0.577,0.577,-10659772
40,43,377,358,1.347,1.347,-11448261
40,44,380,356,0.465,0.465,-10856385
40,45,388,365,1.553,1.553,-11250628
40,46,396,368,1.102,1.102,-11185601
40,47,396,368,0.000,0.000,-10330809
