C1,C2,C3,C4,C5,C6,C7
21,1,328,580,-1.000,-1.000,-12962275
21,2,308,582,2.593,2.593,-13027542
21,3,308,586,0.516,0.516,-13026774
21,4,308,593,0.903,0.903,-13092307
21,5,309,598,0.658,0.658,-13026772
21,6,311,606,1.064,1.064,-12763600
21,7,311,614,1.032,1.032,-12632786
21,8,309,621,0.939,0.939,-12435407
21,9,309,630,1.161,1.161,-12369614
21,10,309,636,0.774,0.774,-12434385
21,11,311,641,0.695,0.695,-9872324
21,12,312,648,0.912,0.912,-7505328
21,13,312,654,0.774,0.774,-7175850
21,14,311,662,1.040,1.040,-7176364
21,15,315,673,1.510,1.510,-7504816
21,16,317,677,0.577,0.577,-7701425
21,17,308,681,1.271,1.271,-8489391
21,18,311,686,0.752,0.752,-12236488
21,19,313,692,0.816,0.816,-12566225
21,20,315,700,1.064,1.064,-12631503
21,21,317,707,0.939,0.939,-12565712
21,22,321,714,1.040,1.040,-12369362
21,23,325,721,1.040,1.040,-12303316
21,24,329,726,0.826,0.826,-7898546
21,25,333,734,1.154,1.154,-7503786
21,26,338,738,0.826,0.826,-7635885
21,27,341,743,0.752,0.752,-9609675
21,28,349,746,1.102,1.102,-9741261
21,29,353,754,1.154,1.154,-8359095
21,30,362,762,1.553,1.553,-12105159
21,31,372,767,1.442,1.442,-12564421
21,32,378,769,0.816,0.816,-12301251
21,33,386,771,1.064,1.064,-12367044
21,34,395,771,1.161,1.161,-12104383
21,35,401,772,0.785,0.785,-10590639
21,36,412,770,1.442,1.442,-10525353
21,37,419,770,0.903,0.903,-11709114
21,38,422,762,1.102,1.102,-9669278
21,39,428,757,1.008,1.008,-10986680
21,40,433,752,0.912,0.912,-11054529
21,41,439,745,1.189,1.189,-11052986
21,42,445,748,0.865,0.865,-9343146
21,43,453,740,1.459,1.459,-5329773
21,44,458,732,1.217,1.217,-11119295
21,45,461,726,0.865,0.865,-10724019
21,46,462,720,0.785,0.785,-10724789
21,47,466,714,0.930,0.930,-10527671
