C1,C2,C3,C4,C5,C6,C7
42,1,336,583,-1.000,-1.000,-12763604
42,2,375,597,5.345,5.345,-11645901
42,3,384,601,1.271,1.271,-11842767
42,4,391,601,0.903,0.903,-7965369
42,5,399,597,1.154,1.154,-8031162
42,6,411,599,1.569,1.569,-7769019
42,7,416,597,0.695,0.695,-8492488
42,8,425,597,1.161,1.161,-8491972
42,9,437,597,1.548,1.548,-11579593
42,10,445,598,1.040,1.040,-11711433
42,11,452,597,0.912,0.912,-11053249
42,12,462,597,1.290,1.290,-10132408
42,13,476,597,1.806,1.806,-8228274
42,14,487,599,1.442,1.442,-7834032
42,15,497,598,1.296,1.296,-8359610
42,16,504,595,0.982,0.982,-8096434
42,17,514,593,1.316,1.316,-10001844
42,18,522,591,1.064,1.064,-9341855
42,19,533,589,1.442,1.442,-9408159
42,20,539,581,1.290,1.290,-12105421
42,21,545,575,1.095,1.095,-10922946
42,22,559,563,2.379,2.379,-11249339
42,23,560,555,1.040,1.040,-10922425
42,24,558,551,0.577,0.577,-9605538
42,25,559,543,1.040,1.040,-9212577
42,26,557,534,1.189,1.189,-11185601
42,27,555,525,1.189,1.189,-11974604
42,28,553,518,0.939,0.939,-9278118
42,29,551,509,1.189,1.189,-12895964
42,30,550,501,1.040,1.040,-9476268
42,31,547,493,1.102,1.102,-9079720
42,32,547,488,0.645,0.645,-8817829
42,33,544,483,0.752,0.752,-8949674
42,34,545,477,0.785,0.785,-8817831
42,35,541,471,0.930,0.930,-10068676
42,36,535,457,1.965,1.965,-9146281
42,37,533,454,0.465,0.465,-9870515
42,38,531,453,0.288,0.288,-7567251
42,39,529,451,0.365,0.365,-8488872
42,40,519,443,1.652,1.652,-9212074
42,41,513,434,1.395,1.395,-10263994
42,42,505,423,1.755,1.755,-11119553
42,43,501,415,1.154,1.154,-8094104
42,44,496,410,0.912,0.912,-10133689
42,45,494,407,0.465,0.465,-9937341
42,46,486,399,1.459,1.459,-11910102
42,47,481,397,0.695,0.695,-10463943
