C1,C2,C3,C4,C5,C6,C7
64,1,328,583,-1.000,-1.000,-12565451
64,2,337,596,2.040,2.040,-13157849
64,3,337,598,0.258,0.258,-12828882
64,4,337,598,0.000,0.000,-12829393
64,5,336,598,0.129,0.129,-12697550
64,6,336,598,0.000,0.000,-12894675
64,7,336,598,0.000,0.000,-12632786
64,8,336,598,0.000,0.000,-12500430
64,9,334,598,0.258,0.258,-13092567
64,10,334,598,0.000,0.000,-13026261
64,11,334,598,0.000,0.000,-12763602
64,12,334,598,0.000,0.000,-12895186
64,13,336,598,0.258,0.258,-13026774
64,14,336,598,0.000,0.000,-12632786
64,15,336,598,0.000,0.000,-13027290
64,16,336,598,0.000,0.000,-12763602
64,17,336,598,0.000,0.000,-12698325
64,18,336,598,0.000,0.000,-12697809
64,19,336,598,0.000,0.000,-12763343
64,20,346,591,1.575,1.575,-13224151
64,21,346,591,0.000,0.000,-12763600
64,22,348,584,0.939,0.939,-13159128
64,23,345,572,1.596,1.596,-13159128
64,24,345,572,0.000,0.000,-13355739
64,25,351,576,0.930,0.930,-13289944
64,26,346,573,0.752,0.752,-13092308
64,27,341,593,2.659,2.659,-12697809
64,28,341,594,0.129,0.129,-13158101
64,29,332,582,1.935,1.935,-12632792
64,30,329,575,0.982,0.982,-10856124
64,31,347,575,2.322,2.322,-13553634
64,32,343,568,1.040,1.040,-11647457
64,33,357,576,2.080,2.080,-10461366
64,34,356,584,1.040,1.040,-12960721
64,35,359,572,1.596,1.596,-12697550
64,36,358,569,0.408,0.408,-12894675
64,37,345,564,1.797,1.797,-12107738
64,38,353,562,1.064,1.064,-9868201
64,39,357,565,0.645,0.645,-12368585
64,40,361,575,1.389,1.389,-13092054
64,41,358,575,0.387,0.387,-11973577
64,42,333,576,3.228,3.228,-12105161
64,43,327,569,1.189,1.189,-10065580
64,44,329,578,1.189,1.189,-12367822
64,45,329,582,0.516,0.516,-13552866
64,46,328,584,0.288,0.288,-12960983
64,47,331,574,1.347,1.347,-12499666
