C1,C2,C3,C4,C5,C6,C7
9,1,329,583,-1.000,-1.000,-13091794
9,2,314,601,3.023,3.023,-12763093
9,3,315,604,0.408,0.408,-12829143
9,4,315,604,0.000,0.000,-12632018
9,5,313,605,0.288,0.288,-12567250
9,6,307,610,1.008,1.008,-13026776
9,7,305,603,0.939,0.939,-12172492
9,8,303,608,0.695,0.695,-12895190
9,9,295,613,1.217,1.217,-12763604
9,10,294,615,0.288,0.288,-12763350
9,11,285,619,1.271,1.271,-12172759
9,12,281,620,0.532,0.532,-11845867
9,13,274,625,1.110,1.110,-8227773
9,14,267,629,1.040,1.040,-8161978
9,15,258,632,1.224,1.224,-8096703
9,16,250,635,1.102,1.102,-8556734
9,17,242,639,1.154,1.154,-12500695
9,18,237,641,0.695,0.695,-11776456
9,19,236,631,1.296,1.296,-11777485
9,20,224,631,1.548,1.548,-12632018
9,21,219,629,0.695,0.695,-12697557
9,22,212,627,0.939,0.939,-12698327
9,23,206,625,0.816,0.816,-12631252
9,24,195,623,1.442,1.442,-12173272
9,25,189,619,0.930,0.930,-8687549
9,26,181,618,1.040,1.040,-7834545
9,27,173,615,1.102,1.102,-8360376
9,28,165,612,1.102,1.102,-8491962
9,29,158,610,0.939,0.939,-8886718
9,30,155,608,0.465,0.465,-9149124
9,31,149,605,0.865,0.865,-10331076
9,32,142,601,1.040,1.040,-9607083
9,33,134,595,1.290,1.290,-10991065
9,34,127,593,0.939,0.939,-7835574
9,35,120,587,1.189,1.189,-12237256
9,36,119,579,1.040,1.040,-11974351
9,37,113,573,1.095,1.095,-11975115
9,38,107,569,0.930,0.930,-11447482
9,39,100,565,1.040,1.040,-12434377
9,40,98,561,0.577,0.577,-11118264
9,41,102,551,1.389,1.389,-11643830
9,42,101,548,0.408,0.408,-12104383
9,43,101,543,0.645,0.645,-12105151
9,44,97,555,1.632,1.632,-10263986
9,45,95,559,0.577,0.577,-11382465
9,46,94,561,0.288,0.288,-11514051
9,47,94,561,0.000,0.000,-9540772
