C1,C2,C3,C4,C5,C6,C7
13,1,328,580,-1.000,-1.000,-12040910
13,2,344,565,2.829,2.829,-12105670
13,3,344,567,0.258,0.258,-12960983
13,4,348,565,0.577,0.577,-12171465
13,5,355,562,0.982,0.982,-11974856
13,6,360,556,1.008,1.008,-12105672
13,7,366,548,1.290,1.290,-13289944
13,8,369,543,0.752,0.752,-12501711
13,9,376,540,0.982,0.982,-10989786
13,10,382,535,1.008,1.008,-11648747
13,11,386,531,0.730,0.730,-9346505
13,12,390,525,0.930,0.930,-10070228
13,13,396,518,1.189,1.189,-6780065
13,14,400,518,0.516,0.516,-10334166
13,15,408,512,1.290,1.290,-12896987
13,16,412,508,0.730,0.730,-11777223
13,17,406,526,2.448,2.448,-7767987
13,18,402,506,2.631,2.631,-11383497
13,19,400,498,1.064,1.064,-11252162
13,20,402,491,0.939,0.939,-11909063
13,21,404,485,0.816,0.816,-12435405
13,22,398,481,0.930,0.930,-12961751
13,23,412,492,2.297,2.297,-13026515
13,24,416,486,0.930,0.930,-11316156
13,25,423,481,1.110,1.110,-11316158
13,26,430,475,1.189,1.189,-9280960
13,27,435,470,0.912,0.912,-8886718
13,28,442,464,1.189,1.189,-6847135
13,29,446,463,0.532,0.532,-7439274
13,30,450,454,1.271,1.271,-7306918
13,31,454,454,0.516,0.516,-7110309
13,32,456,450,0.577,0.577,-9280451
13,33,450,444,1.095,1.095,-8095915
13,34,451,440,0.532,0.532,-10526905
13,35,452,448,1.040,1.040,-7701930
13,36,463,462,2.297,2.297,-7636137
13,37,470,457,1.110,1.110,-12171467
13,38,474,456,0.532,0.532,-11644602
13,39,480,457,0.785,0.785,-12893897
13,40,488,456,1.040,1.040,-13354702
13,41,494,453,0.865,0.865,-13288659
13,42,497,452,0.408,0.408,-10526127
13,43,497,448,0.516,0.516,-12895188
13,44,488,441,1.471,1.471,-10986680
13,45,486,436,0.695,0.695,-10658228
13,46,492,431,1.008,1.008,-11513276
13,47,493,428,0.408,0.408,-10657717
