C1,C2,C3,C4,C5,C6,C7
4,1,330,580,-1.000,-1.000,-11516884
4,2,324,523,7.394,7.394,-12236496
4,3,324,523,0.000,0.000,-9804224
4,4,320,517,0.930,0.930,-9345990
4,5,316,511,0.930,0.930,-8820925
4,6,314,501,1.316,1.316,-10070228
4,7,309,495,1.008,1.008,-8162481
4,8,310,495,0.129,0.129,-9346501
4,9,306,489,0.930,0.930,-8952513
4,10,301,479,1.442,1.442,-13289944
4,11,298,475,0.645,0.645,-12238285
4,12,290,468,1.371,1.371,-12435918
4,13,287,461,0.982,0.982,-11514302
4,14,282,455,1.008,1.008,-12566476
4,15,286,449,0.930,0.930,-11185601
4,16,281,448,0.658,0.658,-9806534
4,17,277,441,1.040,1.040,-11189473
4,18,272,437,0.826,0.826,-10334166
4,19,263,438,1.168,1.168,-8031409
4,20,264,435,0.408,0.408,-9676234
4,21,269,434,0.658,0.658,-8491962
4,22,281,427,1.792,1.792,-9478855
4,23,280,423,0.532,0.532,-9478855
4,24,266,447,3.584,3.584,-8557755
4,25,265,457,1.296,1.296,-13422308
4,26,258,457,0.903,0.903,-9345982
4,27,258,457,0.000,0.000,-8226731
4,28,252,460,0.865,0.865,-8095145
4,29,245,463,0.982,0.982,-7372200
4,30,240,468,0.912,0.912,-8095915
4,31,234,473,1.008,1.008,-7372450
4,32,228,478,1.008,1.008,-7504551
4,33,227,457,2.712,2.712,-9610441
4,34,219,467,1.652,1.652,-7241895
4,35,251,469,4.136,4.136,-11054539
4,36,238,455,2.465,2.465,-8952511
4,37,247,448,1.471,1.471,-10729185
4,38,250,438,1.347,1.347,-8755132
4,39,245,431,1.110,1.110,-10268373
4,40,244,426,0.658,0.658,-10202064
4,41,241,415,1.471,1.471,-12500170
4,42,238,410,0.752,0.752,-12105410
4,43,239,404,0.785,0.785,-12171205
4,44,240,396,1.040,1.040,-12763083
4,45,237,390,0.865,0.865,-11907774
4,46,236,383,0.912,0.912,-11381690
4,47,234,375,1.064,1.064,-11318739
