C1,C2,C3,C4,C5,C6,C7
65,1,333,578,-1.000,-1.000,-9342140
65,2,347,568,2.219,2.219,-10986940
65,3,347,568,0.000,0.000,-11053502
65,4,347,568,0.000,0.000,-12369363
65,5,348,568,0.129,0.129,-12237776
65,6,348,568,0.000,0.000,-12040395
65,7,348,568,0.000,0.000,-12894936
65,8,348,568,0.000,0.000,-12171984
65,9,348,568,0.000,0.000,-12303569
65,10,348,568,0.000,0.000,-12435155
65,11,343,568,0.645,0.645,-13421273
65,12,350,570,0.939,0.939,-9541301
65,13,347,566,0.645,0.645,-13223894
65,14,347,566,0.000,0.000,-13158101
65,15,345,575,1.189,1.189,-13620205
65,16,347,574,0.288,0.288,-10660035
65,17,343,575,0.532,0.532,-12368592
65,18,343,574,0.129,0.129,-12040398
65,19,342,571,0.408,0.408,-13158362
65,20,345,570,0.408,0.408,-11316675
65,21,347,569,0.288,0.288,-11974605
65,22,348,578,1.168,1.168,-9343932
65,23,352,580,0.577,0.577,-7173281
65,24,355,576,0.645,0.645,-10461375
65,25,357,582,0.816,0.816,-13816290
65,26,358,584,0.288,0.288,-12368333
65,27,360,583,0.288,0.288,-11052475
65,28,360,584,0.129,0.129,-13158360
65,29,363,578,0.865,0.865,-13685222
65,30,360,578,0.387,0.387,-12304082
65,31,355,584,1.008,1.008,-13881832
65,32,357,584,0.258,0.258,-13816038
65,33,353,588,0.730,0.730,-11449547
65,34,357,590,0.577,0.577,-12829648
65,35,357,590,0.000,0.000,-12763351
65,36,358,590,0.129,0.129,-13224153
65,37,361,588,0.465,0.465,-12303567
65,38,361,588,0.000,0.000,-12698328
65,39,355,590,0.816,0.816,-13224151
65,40,354,586,0.532,0.532,-12238552
65,41,362,576,1.652,1.652,-12369363
65,42,359,574,0.465,0.465,-11973575
65,43,341,580,2.448,2.448,-13224153
65,44,338,578,0.465,0.465,-13092056
65,45,337,576,0.288,0.288,-13026263
65,46,337,582,0.774,0.774,-12828876
65,47,337,586,0.516,0.516,-12171206
