C1,C2,C3,C4,C5,C6,C7
35,1,330,579,-1.000,-1.000,-12634072
35,2,265,592,8.551,8.551,-7109541
35,3,255,596,1.389,1.389,-6978472
35,4,247,600,1.154,1.154,-12175604
35,5,237,608,1.652,1.652,-7044514
35,6,233,613,0.826,0.826,-7635113
35,7,226,620,1.277,1.277,-11118268
35,8,219,626,1.189,1.189,-11973573
35,9,211,634,1.459,1.459,-12105159
35,10,207,642,1.154,1.154,-12368331
35,11,198,647,1.328,1.328,-7963560
35,12,193,652,0.912,0.912,-7241893
35,13,189,659,1.040,1.040,-7110307
35,14,185,666,1.040,1.040,-7834032
35,15,175,670,1.389,1.389,-7307172
35,16,167,675,1.217,1.217,-9542328
35,17,162,683,1.217,1.217,-11054011
35,18,159,690,0.982,0.982,-12302791
35,19,152,697,1.277,1.277,-10856634
35,20,147,704,1.110,1.110,-12696520
35,21,163,704,2.064,2.064,-12631756
35,22,160,706,0.465,0.465,-12501198
35,23,144,686,3.304,3.304,-11317951
35,24,141,680,0.865,0.865,-10988220
35,25,133,675,1.217,1.217,-12105410
35,26,128,675,0.645,0.645,-10986929
35,27,125,674,0.408,0.408,-12434888
35,28,135,692,2.656,2.656,-12763081
35,29,133,697,0.695,0.695,-12501200
35,30,143,672,3.473,3.473,-13026774
35,31,139,662,1.389,1.389,-12501711
35,32,137,659,0.465,0.465,-12369871
35,33,128,655,1.271,1.271,-10659507
35,34,123,649,1.008,1.008,-11776960
35,35,113,646,1.347,1.347,-12369095
35,36,109,643,0.645,0.645,-13421530
35,37,120,640,1.471,1.471,-10988218
35,38,119,634,0.785,0.785,-12238028
35,39,116,626,1.102,1.102,-11580608
35,40,110,627,0.785,0.785,-11184821
35,41,111,646,2.454,2.454,-11909061
35,42,115,660,1.878,1.878,-12895188
35,43,118,669,1.224,1.224,-12632532
35,44,119,673,0.532,0.532,-11843531
35,45,121,679,0.816,0.816,-7237760
35,46,121,681,0.258,0.258,-7368065
