C1,C2,C3,C4,C5,C6,C7
68,1,328,583,-1.000,-1.000,-12763604
68,2,348,571,3.009,3.009,-13289944
68,3,354,567,0.930,0.930,-13487578
68,4,361,560,1.277,1.277,-13355480
68,5,371,556,1.389,1.389,-13092305
68,6,374,553,0.547,0.547,-12829136
68,7,380,549,0.930,0.930,-12501477
68,8,384,545,0.730,0.730,-9347273
68,9,389,544,0.658,0.658,-7571371
68,10,397,545,1.040,1.040,-7505580
68,11,398,545,0.129,0.129,-8227769
68,12,407,543,1.189,1.189,-7702444
68,13,414,538,1.110,1.110,-7965618
68,14,421,537,0.912,0.912,-10067647
68,15,427,536,0.785,0.785,-12960208
68,16,432,533,0.752,0.752,-13092307
68,17,439,530,0.982,0.982,-12302281
68,18,447,527,1.102,1.102,-12500428
68,19,454,526,0.912,0.912,-12894418
68,20,458,521,0.826,0.826,-12632535
68,21,464,519,0.816,0.816,-7701678
68,22,475,515,1.510,1.510,-6780574
68,23,476,513,0.288,0.288,-8491192
68,24,484,508,1.217,1.217,-6714781
68,25,490,505,0.865,0.865,-6977955
68,26,490,497,1.032,1.032,-8292271
68,27,496,495,0.816,0.816,-10855345
68,28,502,490,1.008,1.008,-13222862
68,29,507,485,0.912,0.912,-13421013
68,30,513,477,1.290,1.290,-11776445
68,31,516,471,0.865,0.865,-10987193
68,32,517,475,0.532,0.532,-10000814
68,33,517,471,0.516,0.516,-10724021
68,34,502,476,2.040,2.040,-11052982
68,35,500,471,0.695,0.695,-9670044
68,36,499,468,0.408,0.408,-9539232
68,37,499,464,0.516,0.516,-11513276
68,38,509,486,3.117,3.117,-13156556
68,39,514,493,1.110,1.110,-12959690
68,40,521,487,1.189,1.189,-10001064
68,41,525,484,0.645,0.645,-9606305
68,42,526,480,0.532,0.532,-9803435
68,43,529,481,0.408,0.408,-8816275
68,44,529,481,0.000,0.000,-9802917
68,45,518,503,3.173,3.173,-12498880
68,46,501,503,2.193,2.193,-12169661
68,47,500,511,1.040,1.040,-10791360
