C1,C2,C3,C4,C5,C6,C7
36,1,334,583,-1.000,-1.000,-12763350
36,2,369,602,5.137,5.137,-12829135
36,3,381,605,1.596,1.596,-12303051
36,4,387,610,1.008,1.008,-7898796
36,5,391,616,0.930,0.930,-7570092
36,6,396,623,1.110,1.110,-7636653
36,7,402,631,1.290,1.290,-7635887
36,8,408,639,1.290,1.290,-7832751
36,9,411,645,0.865,0.865,-10658752
36,10,419,659,2.080,2.080,-12368072
36,11,422,664,0.752,0.752,-12302281
36,12,425,675,1.471,1.471,-12368071
36,13,429,679,0.730,0.730,-11776196
36,14,431,688,1.189,1.189,-6911649
36,15,434,697,1.224,1.224,-6583199
36,16,435,705,1.040,1.040,-6781344
36,17,440,715,1.442,1.442,-7372454
36,18,441,727,1.553,1.553,-8290974
36,19,447,737,1.504,1.504,-11973563
36,20,451,742,0.826,0.826,-12170174
36,21,449,749,0.939,0.939,-11908041
36,22,452,756,0.982,0.982,-9802919
36,23,453,765,1.168,1.168,-13617371
36,24,450,770,0.752,0.752,-8552591
36,25,446,773,0.645,0.645,-7499903
36,26,457,765,1.755,1.755,-8421264
36,27,445,768,1.596,1.596,-12827595
36,28,437,774,1.290,1.290,-13157323
36,29,433,779,0.826,0.826,-12104899
36,30,428,777,0.695,0.695,-13354448
36,31,423,781,0.826,0.826,-13419982
36,32,417,785,0.930,0.930,-13815001
36,33,414,787,0.465,0.465,-14604519
36,34,407,789,0.939,0.939,-13881046
36,35,405,790,0.288,0.288,-14143968
36,36,398,793,0.982,0.982,-14473701
36,37,393,795,0.695,0.695,-11907780
36,38,383,798,1.347,1.347,-11709625
36,39,377,797,0.785,0.785,-12828106
36,40,370,797,0.903,0.903,-12302279
36,41,362,799,1.064,1.064,-12696267
36,42,355,803,1.040,1.040,-11644097
36,43,345,802,1.296,1.296,-13815771
36,44,339,804,0.816,0.816,-11381438
36,45,330,803,1.168,1.168,-13816028
36,46,323,803,0.903,0.903,-14276582
36,47,315,803,1.032,1.032,-14933999
