C1,C2,C3,C4,C5,C6,C7
69,1,329,580,-1.000,-1.000,-13223893
69,2,290,578,5.038,5.038,-13223893
69,3,288,578,0.258,0.258,-13355477
69,4,284,576,0.577,0.577,-13223891
69,5,285,576,0.129,0.129,-12763600
69,6,282,576,0.387,0.387,-13355992
69,7,279,577,0.408,0.408,-11908295
69,8,273,568,1.395,1.395,-13355480
69,9,266,567,0.912,0.912,-9082041
69,10,264,568,0.288,0.288,-8228022
69,11,265,579,1.425,1.425,-8949942
69,12,264,580,0.182,0.182,-8028588
69,13,260,578,0.577,0.577,-7899055
69,14,257,578,0.387,0.387,-7833266
69,15,255,578,0.258,0.258,-7636655
69,16,248,574,1.040,1.040,-7439274
69,17,241,573,0.912,0.912,-7570860
69,18,250,581,1.553,1.553,-7504301
69,19,245,584,0.752,0.752,-7241893
69,20,243,586,0.365,0.365,-7570860
69,21,241,587,0.288,0.288,-7307688
69,22,233,591,1.154,1.154,-7701676
69,23,229,594,0.645,0.645,-7701678
69,24,224,596,0.695,0.695,-12501724
69,25,225,603,0.912,0.912,-12368842
69,26,220,608,0.912,0.912,-12434635
69,27,213,613,1.110,1.110,-12894928
69,28,226,617,1.755,1.755,-12500171
69,29,223,622,0.752,0.752,-12698060
69,30,217,618,0.930,0.930,-12763343
69,31,208,599,2.712,2.712,-12894926
69,32,203,606,1.110,1.110,-12829135
69,33,197,606,0.774,0.774,-12566476
69,34,191,610,0.930,0.930,-12500170
69,35,185,608,0.816,0.816,-9147570
69,36,178,608,0.903,0.903,-7504301
69,37,177,614,0.785,0.785,-7438756
69,38,171,614,0.774,0.774,-7372711
69,39,168,619,0.752,0.752,-7109539
69,40,165,614,0.752,0.752,-7043746
69,41,158,609,1.110,1.110,-7372452
69,42,149,608,1.168,1.168,-7306922
69,43,145,604,0.730,0.730,-10595800
69,44,141,606,0.577,0.577,-9938377
69,45,133,608,1.064,1.064,-11450313
69,46,128,604,0.826,0.826,-11515851
69,47,121,608,1.040,1.040,-4606816
