C1,C2,C3,C4,C5,C6,C7
76,1,330,581,-1.000,-1.000,-13026515
76,2,336,540,5.345,5.345,-8357276
76,3,346,536,1.389,1.389,-13487576
76,4,335,538,1.442,1.442,-13422302
76,5,331,544,0.930,0.930,-12962008
76,6,328,550,0.865,0.865,-13751524
76,7,324,546,0.730,0.730,-12238539
76,8,318,544,0.816,0.816,-13684442
76,9,316,538,0.816,0.816,-13421530
76,10,312,534,0.730,0.730,-11514303
76,11,308,530,0.730,0.730,-13224153
76,12,305,528,0.465,0.465,-11054791
76,13,300,523,0.912,0.912,-11780585
76,14,298,512,1.442,1.442,-8096436
76,15,288,510,1.316,1.316,-7834032
76,16,288,501,1.161,1.161,-9346501
76,17,289,496,0.658,0.658,-8164026
76,18,284,496,0.645,0.645,-8689339
76,19,281,502,0.865,0.865,-9149122
76,20,278,499,0.547,0.547,-10267605
76,21,277,499,0.129,0.129,-9873617
76,22,270,493,1.189,1.189,-11318215
76,23,262,490,1.102,1.102,-12238285
76,24,262,489,0.129,0.129,-10198706
76,25,258,483,0.930,0.930,-12501198
76,26,253,476,1.110,1.110,-12237256
76,27,248,469,1.110,1.110,-12894669
76,28,247,464,0.658,0.658,-10462402
76,29,242,455,1.328,1.328,-8490681
76,30,239,448,0.982,0.982,-8295096
76,31,238,440,1.040,1.040,-8426167
76,32,234,431,1.271,1.271,-7504549
76,33,234,421,1.290,1.290,-8291746
76,34,234,414,0.903,0.903,-11909314
76,35,228,406,1.290,1.290,-12303302
76,36,226,397,1.189,1.189,-11052982
76,37,225,391,0.785,0.785,-8751774
76,38,220,379,1.677,1.677,-11317187
76,39,224,373,0.930,0.930,-10857153
76,40,226,372,0.288,0.288,-8686492
76,41,228,366,0.816,0.816,-7963029
76,42,236,363,1.102,1.102,-10265013
76,43,241,360,0.752,0.752,-8818593
76,44,247,358,0.816,0.816,-10461623
76,45,250,358,0.387,0.387,-8027025
76,46,252,351,0.939,0.939,-8949407
76,47,252,366,1.935,1.935,-11974086
