C1,C2,C3,C4,C5,C6,C7
60,1,328,579,-1.000,-1.000,-12106703
60,2,336,570,1.553,1.553,-11184837
60,3,342,573,0.865,0.865,-12763604
60,4,332,570,1.347,1.347,-12501206
60,5,336,561,1.271,1.271,-13422299
60,6,340,571,1.389,1.389,-12699606
60,7,335,584,1.797,1.797,-13091797
60,8,338,588,0.645,0.645,-12303567
60,9,337,592,0.532,0.532,-12894929
60,10,344,597,1.110,1.110,-13026001
60,11,344,600,0.387,0.387,-13026001
60,12,351,600,0.903,0.903,-12960209
60,13,352,602,0.288,0.288,-13026255
60,14,352,606,0.516,0.516,-13026004
60,15,354,611,0.695,0.695,-12894416
60,16,355,611,0.129,0.129,-12762830
60,17,357,614,0.465,0.465,-12499917
60,18,360,617,0.547,0.547,-12631243
60,19,360,622,0.645,0.645,-12630727
60,20,362,624,0.365,0.365,-12302538
60,21,364,627,0.465,0.465,-11907523
60,22,366,628,0.288,0.288,-11973064
60,23,366,631,0.387,0.387,-9935032
60,24,368,637,0.816,0.816,-7701680
60,25,368,634,0.387,0.387,-7766958
60,26,370,640,0.816,0.816,-7701678
60,27,370,642,0.258,0.258,-7372460
60,28,370,642,0.000,0.000,-9806801
60,29,373,646,0.645,0.645,-7372713
60,30,368,650,0.826,0.826,-7174823
60,31,369,654,0.532,0.532,-7043495
60,32,369,656,0.258,0.258,-7305897
60,33,378,648,1.553,1.553,-7964597
60,34,379,652,0.532,0.532,-6911651
60,35,384,655,0.752,0.752,-7306409
60,36,384,655,0.000,0.000,-7043495
60,37,387,656,0.408,0.408,-9148100
60,38,388,658,0.288,0.288,-7700654
60,39,392,660,0.577,0.577,-7699105
60,40,396,661,0.532,0.532,-11974614
60,41,399,664,0.547,0.547,-12104900
60,42,399,665,0.129,0.129,-12301509
60,43,404,666,0.658,0.658,-12564681
60,44,399,669,0.752,0.752,-12499660
60,45,394,675,1.008,1.008,-12367304
60,46,396,678,0.465,0.465,-12366275
60,47,394,683,0.695,0.695,-12235718
