C1,C2,C3,C4,C5,C6,C7
70,1,329,580,-1.000,-1.000,-13487066
70,2,327,549,4.007,4.007,-12697809
70,3,326,545,0.532,0.532,-13158362
70,4,326,545,0.000,0.000,-12634074
70,5,331,537,1.217,1.217,-13224406
70,6,333,535,0.365,0.365,-13223891
70,7,333,533,0.258,0.258,-13158358
70,8,321,533,1.548,1.548,-13224923
70,9,321,531,0.258,0.258,-12960981
70,10,319,521,1.316,1.316,-12963040
70,11,319,515,0.774,0.774,-8755136
70,12,317,509,0.816,0.816,-8755134
70,13,317,499,1.290,1.290,-9149126
70,14,323,489,1.504,1.504,-7768241
70,15,319,483,0.930,0.930,-9412043
70,16,319,480,0.387,0.387,-8228274
70,17,335,487,2.253,2.253,-9083331
70,18,325,483,1.389,1.389,-8228538
70,19,301,499,3.721,3.721,-9347271
70,20,292,495,1.271,1.271,-8096952
70,21,287,490,0.912,0.912,-10136017
70,22,305,511,3.568,3.568,-7702194
70,23,303,521,1.316,1.316,-7700908
70,24,303,500,2.709,2.709,-7571638
70,25,302,509,1.168,1.168,-7636402
70,26,292,492,2.544,2.544,-8162745
70,27,293,496,0.532,0.532,-7899059
70,28,301,500,1.154,1.154,-7899574
70,29,314,519,2.970,2.970,-8161457
70,30,323,521,1.189,1.189,-9737652
70,31,323,533,1.548,1.548,-12763600
70,32,315,541,1.459,1.459,-13092565
70,33,315,547,0.774,0.774,-13289686
70,34,317,537,1.316,1.316,-8817577
70,35,337,529,2.779,2.779,-13223894
70,36,311,539,3.594,3.594,-13158101
70,37,309,545,0.816,0.816,-13224406
70,38,303,552,1.189,1.189,-13224151
70,39,301,561,1.189,1.189,-13092308
70,40,298,565,0.645,0.645,-11316675
70,41,299,573,1.040,1.040,-13553369
70,42,297,577,0.577,0.577,-13092048
70,43,293,583,0.930,0.930,-13157587
70,44,287,589,1.095,1.095,-13157841
70,45,291,594,0.826,0.826,-12433865
70,46,291,601,0.903,0.903,-12960208
70,47,285,607,1.095,1.095,-12763600
