C1,C2,C3,C4,C5,C6,C7
66,1,331,581,-1.000,-1.000,-13026514
66,2,342,572,1.833,1.833,-10330807
66,3,342,568,0.516,0.516,-11250879
66,4,340,565,0.465,0.465,-12434637
66,5,340,560,0.645,0.645,-13224669
66,6,343,554,0.865,0.865,-13093083
66,7,343,549,0.645,0.645,-11382729
66,8,343,540,1.161,1.161,-13224921
66,9,339,533,1.040,1.040,-13421272
66,10,341,523,1.316,1.316,-12830426
66,11,340,519,0.532,0.532,-10727386
66,12,341,509,1.296,1.296,-8294583
66,13,342,503,0.785,0.785,-8491196
66,14,340,493,1.316,1.316,-8425148
66,15,340,484,1.161,1.161,-8689343
66,16,339,473,1.425,1.425,-13684957
66,17,338,467,0.785,0.785,-12567252
66,18,337,455,1.553,1.553,-13290197
66,19,340,447,1.102,1.102,-12830165
66,20,342,437,1.316,1.316,-11714780
66,21,340,426,1.442,1.442,-8821186
66,22,339,419,0.912,0.912,-9808081
66,23,336,411,1.102,1.102,-10202328
66,24,336,401,1.290,1.290,-10729185
66,25,334,393,1.064,1.064,-8949674
66,26,334,381,1.548,1.548,-12302538
66,27,329,375,1.008,1.008,-11184572
66,28,328,365,1.296,1.296,-11843527
66,29,332,358,1.040,1.040,-11054013
66,30,320,355,1.596,1.596,-11514051
66,31,317,349,0.865,0.865,-12304080
66,32,338,350,2.712,2.712,-11909061
66,33,335,346,0.645,0.645,-9739960
66,34,315,357,2.944,2.944,-11579326
66,35,307,357,1.032,1.032,-13026522
66,36,298,352,1.328,1.328,-12238028
66,37,297,349,0.408,0.408,-11910351
66,38,304,367,2.491,2.491,-10132911
66,39,294,370,1.347,1.347,-12961234
66,40,286,367,1.102,1.102,-11054781
66,41,296,377,1.824,1.824,-11776960
66,42,288,381,1.154,1.154,-12829648
66,43,284,385,0.730,0.730,-12368584
66,44,279,385,0.645,0.645,-12368323
66,45,278,389,0.532,0.532,-12236485
66,46,278,368,2.709,2.709,-10263986
66,47,280,357,1.442,1.442,-11644349
