C1,C2,C3,C4,C5,C6,C7
8,1,329,581,-1.000,-1.000,-8685991
8,2,321,566,2.193,2.193,-9738418
8,3,328,566,0.903,0.903,-9541293
8,4,329,567,0.182,0.182,-9211309
8,5,330,567,0.129,0.129,-9408688
8,6,330,566,0.129,0.129,-9737650
8,7,331,565,0.182,0.182,-11513802
8,8,331,565,0.000,0.000,-11119042
8,9,333,567,0.365,0.365,-10461116
8,10,335,568,0.288,0.288,-13817066
8,11,335,568,0.000,0.000,-12172243
8,12,335,565,0.387,0.387,-13159138
8,13,335,565,0.000,0.000,-11448520
8,14,335,565,0.000,0.000,-12961500
8,15,335,565,0.000,0.000,-13290724
8,16,337,569,0.577,0.577,-12368592
8,17,334,575,0.865,0.865,-10987967
8,18,335,574,0.182,0.182,-13619940
8,19,325,561,2.116,2.116,-11250882
8,20,334,560,1.168,1.168,-12171730
8,21,335,565,0.658,0.658,-13225447
8,22,338,571,0.865,0.865,-12895704
8,23,339,569,0.288,0.288,-12302799
8,24,347,569,1.032,1.032,-13223640
8,25,351,567,0.577,0.577,-12828884
8,26,355,561,0.930,0.930,-12632018
8,27,361,562,0.785,0.785,-12960472
8,28,367,560,0.816,0.816,-11975632
8,29,375,556,1.154,1.154,-11973835
8,30,383,552,1.154,1.154,-11974353
8,31,390,549,0.982,0.982,-9148871
8,32,395,546,0.752,0.752,-7702195
8,33,399,543,0.645,0.645,-8426179
8,34,405,540,0.865,0.865,-8952010
8,35,411,537,0.865,0.865,-8295874
8,36,418,530,1.277,1.277,-9806030
8,37,425,526,1.040,1.040,-10592951
8,38,431,521,1.008,1.008,-12303570
8,39,438,515,1.189,1.189,-12762832
8,40,441,512,0.547,0.547,-12697296
8,41,443,511,0.288,0.288,-11381951
8,42,447,504,1.040,1.040,-12762838
8,43,455,498,1.290,1.290,-11976679
8,44,458,494,0.645,0.645,-8687549
8,45,463,489,0.912,0.912,-8753596
8,46,467,487,0.577,0.577,-8950205
8,47,471,481,0.930,0.930,-8949951
