C1,C2,C3,C4,C5,C6,C7
24,1,332,579,-1.000,-1.000,-13289686
24,2,326,559,2.694,2.694,-13092820
24,3,326,559,0.000,0.000,-12566221
24,4,326,559,0.000,0.000,-11776707
24,5,328,557,0.365,0.365,-12895956
24,6,327,551,0.785,0.785,-11974853
24,7,326,548,0.408,0.408,-12304080
24,8,326,540,1.032,1.032,-13224151
24,9,326,534,0.774,0.774,-13026774
24,10,326,524,1.290,1.290,-12829648
24,11,327,518,0.785,0.785,-8556474
24,12,324,513,0.752,0.752,-10991328
24,13,322,507,0.816,0.816,-10399707
24,14,324,499,1.064,1.064,-9083847
24,15,322,492,0.939,0.939,-10136536
24,16,318,487,0.826,0.826,-11979250
24,17,314,481,0.930,0.930,-10531545
24,18,311,474,0.982,0.982,-10791619
24,19,306,469,0.912,0.912,-12173521
24,20,302,462,1.040,1.040,-11646150
24,21,300,453,1.189,1.189,-12568022
24,22,296,446,1.040,1.040,-11843529
24,23,295,439,0.912,0.912,-11122401
24,24,290,432,1.110,1.110,-11717110
24,25,293,429,0.547,0.547,-10269402
24,26,295,425,0.577,0.577,-9940696
24,27,294,417,1.040,1.040,-9348047
24,28,290,409,1.154,1.154,-7309490
24,29,290,403,0.774,0.774,-10071507
24,30,288,396,0.939,0.939,-10331581
24,31,282,399,0.865,0.865,-10199743
24,32,276,397,0.816,0.816,-10593981
24,33,272,393,0.730,0.730,-10922176
24,34,268,390,0.645,0.645,-11317185
24,35,263,386,0.826,0.826,-12303053
24,36,256,383,0.982,0.982,-11054015
24,37,254,379,0.577,0.577,-10067894
24,38,250,371,1.154,1.154,-12040657
24,39,243,371,0.903,0.903,-10856381
24,40,240,369,0.465,0.465,-10594240
24,41,258,367,2.336,2.336,-10791357
24,42,261,362,0.752,0.752,-11120582
24,43,262,357,0.658,0.658,-10660031
24,44,268,357,0.774,0.774,-11778255
24,45,261,354,0.982,0.982,-7569304
24,46,258,351,0.547,0.547,-7569556
24,47,260,355,0.577,0.577,-8556199
