C1,C2,C3,C4,C5,C6,C7
56,1,330,583,-1.000,-1.000,-12697550
56,2,337,592,1.471,1.471,-12302279
56,3,342,598,1.008,1.008,-13092308
56,4,330,602,1.632,1.632,-13289687
56,5,333,603,0.408,0.408,-13158101
56,6,324,591,1.935,1.935,-12895958
56,7,332,593,1.064,1.064,-13026261
56,8,332,596,0.387,0.387,-13092565
56,9,316,592,2.128,2.128,-13289433
56,10,322,595,0.865,0.865,-12960981
56,11,339,590,2.286,2.286,-13355226
56,12,340,595,0.658,0.658,-13157847
56,13,337,599,0.645,0.645,-13026774
56,14,335,602,0.465,0.465,-13157588
56,15,328,596,1.189,1.189,-13158101
56,16,320,584,1.860,1.860,-12829911
56,17,317,585,0.408,0.408,-11973834
56,18,324,574,1.682,1.682,-13093335
56,19,336,580,1.731,1.731,-10198203
56,20,328,599,2.659,2.659,-13026515
56,21,315,593,1.847,1.847,-13026515
56,22,315,596,0.387,0.387,-13026772
56,23,327,572,3.461,3.461,-9541301
56,24,326,585,1.682,1.682,-13421532
56,25,326,591,0.774,0.774,-12895964
56,26,326,574,2.193,2.193,-10198203
56,27,340,587,2.465,2.465,-12960721
56,28,348,583,1.154,1.154,-13026263
56,29,341,595,1.792,1.792,-12368331
56,30,336,598,0.752,0.752,-13092565
56,31,342,595,0.865,0.865,-12697809
56,32,339,597,0.465,0.465,-12895188
56,33,344,578,2.534,2.534,-12960722
56,34,348,587,1.271,1.271,-12895186
56,35,326,590,2.864,2.864,-13092307
56,36,334,573,2.424,2.424,-10004950
56,37,332,583,1.316,1.316,-11909587
56,38,320,588,1.677,1.677,-13224153
56,39,319,583,0.658,0.658,-13420762
56,40,342,575,3.141,3.141,-12829911
56,41,342,593,2.322,2.322,-12960721
56,42,340,597,0.577,0.577,-13026515
56,43,324,587,2.434,2.434,-13223640
56,44,330,566,2.817,2.817,-9409978
56,45,314,581,2.829,2.829,-13289435
56,46,313,581,0.129,0.129,-12829395
56,47,316,576,0.752,0.752,-12104908
