C1,C2,C3,C4,C5,C6,C7
59,1,326,577,-1.000,-1.000,-13421281
59,2,345,599,3.750,3.750,-13157588
59,3,340,601,0.695,0.695,-12960981
59,4,342,605,0.577,0.577,-12961234
59,5,344,608,0.465,0.465,-13223894
59,6,344,610,0.258,0.258,-12960721
59,7,344,614,0.516,0.516,-13289687
59,8,344,615,0.129,0.129,-13026774
59,9,344,622,0.903,0.903,-13223894
59,10,344,622,0.000,0.000,-13158358
59,11,345,627,0.658,0.658,-12960721
59,12,348,626,0.408,0.408,-13091025
59,13,350,632,0.816,0.816,-12632014
59,14,350,635,0.387,0.387,-12630992
59,15,353,639,0.645,0.645,-10068672
59,16,353,641,0.258,0.258,-8228022
59,17,353,643,0.258,0.258,-8359608
59,18,354,645,0.288,0.288,-8162229
59,19,357,651,0.865,0.865,-7833264
59,20,358,653,0.288,0.288,-7898033
59,21,359,657,0.532,0.532,-7832240
59,22,361,659,0.365,0.365,-7832240
59,23,363,663,0.577,0.577,-7634861
59,24,363,663,0.000,0.000,-7701167
59,25,368,665,0.695,0.695,-7701680
59,26,370,669,0.577,0.577,-7701167
59,27,373,672,0.547,0.547,-7765929
59,28,373,672,0.000,0.000,-8028590
59,29,378,675,0.752,0.752,-12367820
59,30,381,679,0.645,0.645,-12630729
59,31,386,681,0.695,0.695,-12696267
59,32,386,681,0.000,0.000,-12433865
59,33,391,681,0.645,0.645,-12630474
59,34,392,685,0.532,0.532,-12565451
59,35,388,687,0.577,0.577,-12828623
59,36,381,693,1.189,1.189,-13024719
59,37,381,699,0.774,0.774,-12827853
59,38,384,701,0.465,0.465,-13024719
59,39,386,701,0.258,0.258,-12695754
59,40,386,706,0.645,0.645,-12630474
59,41,386,709,0.387,0.387,-12629963
59,42,388,712,0.465,0.465,-11446980
59,43,388,716,0.516,0.516,-8026783
59,44,388,717,0.129,0.129,-7633567
59,45,389,724,0.912,0.912,-7371423
59,46,390,724,0.129,0.129,-7567519
59,47,392,725,0.288,0.288,-9870014
