C1,C2,C3,C4,C5,C6,C7
20,1,336,584,-1.000,-1.000,-13092305
20,2,348,587,1.596,1.596,-12960721
20,3,348,593,0.774,0.774,-12895441
20,4,347,597,0.532,0.532,-12829136
20,5,347,597,0.000,0.000,-12040649
20,6,352,601,0.826,0.826,-12698062
20,7,352,605,0.516,0.516,-12894929
20,8,355,607,0.465,0.465,-12894926
20,9,358,611,0.645,0.645,-12829135
20,10,361,618,0.982,0.982,-12631246
20,11,362,620,0.288,0.288,-12434639
20,12,366,628,1.154,1.154,-7570090
20,13,368,628,0.258,0.258,-7241129
20,14,374,633,1.008,1.008,-8031413
20,15,378,641,1.154,1.154,-7241895
20,16,380,643,0.365,0.365,-7241895
20,17,387,649,1.189,1.189,-7373483
20,18,392,654,0.912,0.912,-7832743
20,19,396,658,0.730,0.730,-11973573
20,20,402,663,1.008,1.008,-12236998
20,21,409,667,1.040,1.040,-12302279
20,22,414,672,0.912,0.912,-12170693
20,23,416,673,0.288,0.288,-11909322
20,24,424,674,1.040,1.040,-8886971
20,25,428,678,0.730,0.730,-8425403
20,26,431,685,0.982,0.982,-6451360
20,27,440,684,1.168,1.168,-6912678
20,28,442,686,0.365,0.365,-6123673
20,29,448,688,0.816,0.816,-9478859
20,30,458,693,1.442,1.442,-6517402
20,31,463,691,0.695,0.695,-7767471
20,32,471,693,1.064,1.064,-10330039
20,33,468,703,1.347,1.347,-10593464
20,34,474,703,0.774,0.774,-10526380
20,35,456,679,3.870,3.870,-8294583
20,36,457,669,1.296,1.296,-7636402
20,37,460,657,1.596,1.596,-6780574
20,38,461,652,0.658,0.658,-7504297
20,39,462,648,0.532,0.532,-9543880
20,40,464,638,1.316,1.316,-7109539
20,41,466,633,0.695,0.695,-9017277
20,42,469,624,1.224,1.224,-7569831
20,43,469,618,0.774,0.774,-9807052
20,44,471,612,0.816,0.816,-8951745
20,45,474,603,1.224,1.224,-7109539
20,46,475,597,0.785,0.785,-10793690
20,47,478,589,1.102,1.102,-7306918
