C1,C2,C3,C4,C5,C6,C7
22,1,323,575,-1.000,-1.000,-8554919
22,2,292,529,7.156,7.156,-9017027
22,3,288,524,0.826,0.826,-12044018
22,4,284,521,0.645,0.645,-9610705
22,5,283,519,0.288,0.288,-12438776
22,6,277,514,1.008,1.008,-10004949
22,7,274,507,0.982,0.982,-8886982
22,8,272,506,0.288,0.288,-11321323
22,9,265,502,1.040,1.040,-11385825
22,10,262,493,1.224,1.224,-11777223
22,11,260,487,0.816,0.816,-10132400
22,12,254,481,1.095,1.095,-11909324
22,13,249,477,0.826,0.826,-12172494
22,14,245,472,0.826,0.826,-10856634
22,15,242,465,0.982,0.982,-12041945
22,16,239,463,0.465,0.465,-12307186
22,17,234,457,1.008,1.008,-11058148
22,18,226,454,1.102,1.102,-10795998
22,19,220,450,0.930,0.930,-9216196
22,20,218,444,0.816,0.816,-10926301
22,21,211,437,1.277,1.277,-10594499
22,22,204,431,1.189,1.189,-10987959
22,23,199,427,0.826,0.826,-11447740
22,24,192,428,0.912,0.912,-12369360
22,25,184,422,1.290,1.290,-11908811
22,26,178,419,0.865,0.865,-10662343
22,27,177,408,1.425,1.425,-8948888
22,28,170,419,1.682,1.682,-10133162
22,29,166,420,0.532,0.532,-9080474
22,30,181,412,2.193,2.193,-11516358
22,31,185,405,1.040,1.040,-11646918
22,32,186,401,0.532,0.532,-10857913
22,33,185,393,1.040,1.040,-12042195
22,34,186,393,0.129,0.129,-9345202
22,35,174,411,2.791,2.791,-7040640
22,36,168,412,0.785,0.785,-10265527
22,37,166,414,0.365,0.365,-10396853
22,38,166,421,0.903,0.903,-7700104
22,39,161,424,0.752,0.752,-11054011
22,40,155,427,0.865,0.865,-11712713
22,41,152,435,1.102,1.102,-5989486
22,42,148,435,0.516,0.516,-8686231
22,43,145,440,0.752,0.752,-9606819
22,44,144,444,0.532,0.532,-6777719
22,45,146,434,1.316,1.316,-10134970
22,46,148,433,0.288,0.288,-10265524
22,47,170,437,2.885,2.885,-9211811
