Set,Larva,Segment,NMJ,Boutons,Replicate
CG42342,1,3R,2,4,3
CG42342,1,4L,3,1,3
CG42342,1,4R,4,2,3
CG42342,1,5L,5,2,3
CG42342,1,5R,6,0,3
CG42342,2,3L,7,1,3
CG42342,2,3R,8,1,3
CG42342,2,4L,9,0,3
CG42342,2,4R,10,0,3
CG42342,2,5L,11,0,3
CG42342,2,5R,12,0,3
CG42342,3,3L,13,0,3
CG42342,3,3R,14,0,3
CG42342,3,4L,15,0,3
CG42342,3,4R,16,0,3
CG42342,3,5L,17,0,3
CG42342,4,3R,18,4,3
CG42342,4,4L,19,5,3
CG42342,4,4R,20,5,3
CG42342,4,5L,21,10,3
CG42342,4,5R,22,10,3
CG42342,5,3L,23,9,3
CG42342,5,4L,24,3,3
CG42342,5,4R,25,3,3
