...1,Label,sum_Area,condition,channel
248,MAX_20220210_Kstim_250122_No2_lac_L3_S2L_C3.tif,444.945,lac,HRP
249,MAX_20220210_Kstim_250122_No2_lac_L3_S2R_C1.tif,191.427,lac,Glia
250,MAX_20220210_Kstim_250122_No2_lac_L3_S2R_C3.tif,548.619,lac,HRP
251,MAX_20220210_Kstim_250122_No2_lac_L3_S3L_C1.tif,95.518,lac,Glia
252,MAX_20220210_Kstim_250122_No2_lac_L3_S3L_C3.tif,309.804,lac,HRP
253,MAX_20220210_Kstim_250122_No2_lac_L3_S3R_C1.tif,48.562,lac,Glia
254,MAX_20220210_Kstim_250122_No2_lac_L3_S3R_C3.tif,179.536,lac,HRP
255,MAX_20220210_Kstim_250122_No2_lac_L3_S4L_C1.tif,60.912,lac,Glia
256,MAX_20220210_Kstim_250122_No2_lac_L3_S4L_C3.tif,204.722,lac,HRP
257,MAX_20220210_Kstim_250122_No2_lac_L3_S4R_C1.tif,66.565,lac,Glia
258,MAX_20220210_Kstim_250122_No2_lac_L3_S4R_C3.tif,238.899,lac,HRP
259,MAX_20220210_Kstim_250122_No2_lac_L3_S5L_C1.tif,67.921,lac,Glia
260,MAX_20220210_Kstim_250122_No2_lac_L3_S5L_C3.tif,196.343,lac,HRP
261,MAX_20220210_Kstim_250122_No2_lac_L3_S5R_C1.tif,135.305,lac,Glia
262,MAX_20220210_Kstim_250122_No2_lac_L3_S5R_C3.tif,225.657,lac,HRP
263,MAX_20220210_Kstim_250122_No2_lac_L4_S2R_C1.tif,461.416,lac,Glia
264,MAX_20220210_Kstim_250122_No2_lac_L4_S2R_C3.tif,742.262,lac,HRP
265,MAX_20220210_Kstim_250122_No2_lac_L4_S3L_C1.tif,79.354,lac,Glia
266,MAX_20220210_Kstim_250122_No2_lac_L4_S3L_C3.tif,537.555,lac,HRP
267,MAX_20220210_Kstim_250122_No2_lac_L4_S3R_C1.tif,451.129,lac,Glia
268,MAX_20220210_Kstim_250122_No2_lac_L4_S3R_C3.tif,582.501,lac,HRP
269,MAX_20220210_Kstim_250122_No2_lac_L4_S4L_C1.tif,78.167,lac,Glia
270,MAX_20220210_Kstim_250122_No2_lac_L4_S4L_C3.tif,389.028,lac,HRP
271,MAX_20220210_Kstim_250122_No2_lac_L4_S4R_C1.tif,148.711,lac,Glia
272,MAX_20220210_Kstim_250122_No2_lac_L4_S4R_C3.tif,381.556,lac,HRP
273,MAX_20220210_Kstim_250122_No2_lac_L4_S5L_C1.tif,95.76,lac,Glia
274,MAX_20220210_Kstim_250122_No2_lac_L4_S5L_C3.tif,310.968,lac,HRP
275,MAX_20220210_Kstim_250122_No2_lac_L4_S5R_C1.tif,37.015,lac,Glia
276,MAX_20220210_Kstim_250122_No2_lac_L4_S5R_C3.tif,258.118,lac,HRP
277,MAX_20220210_Kstim_250122_No2_lac_L5_S2L_C1.tif,192.55,lac,Glia
278,MAX_20220210_Kstim_250122_No2_lac_L5_S2L_C3.tif,346.332,lac,HRP
279,MAX_20220210_Kstim_250122_No2_lac_L5_S3R_C1.tif,268.963,lac,Glia
280,MAX_20220210_Kstim_250122_No2_lac_L5_S3R_C3.tif,519.042,lac,HRP
