...1,Label,Area,Mean,Min,Max,IntDen,RawIntDen
696,MAX_20220729_Mdr_GFP_lac_GD_L2_S4R_C3.tif,2.015,254.465,0,255,512.831,121380
697,MAX_20220729_Mdr_GFP_lac_GD_L2_S5L_C1.tif,44.654,255,255,255,11386.777,2695095
698,MAX_20220729_Mdr_GFP_lac_GD_L2_S5L_C3.tif,261.582,250.729,0,255,65586.284,15523380
699,MAX_20220729_Mdr_GFP_lac_GD_L2_S5R_C1.tif,46.276,255,255,255,11800.489,2793015
700,MAX_20220729_Mdr_GFP_lac_GD_L2_S5R_C3.tif,173.36,250.296,0,255,43391.28,10270125
701,MAX_20220729_Mdr_GFP_lac_GD_L2_S5R_C3.tif,2.746,255,255,255,700.294,165750
702,MAX_20220729_Mdr_GFP_lac_GD_L2_S5R_C3.tif,15.907,255,255,255,4056.317,960075
703,MAX_20220729_Mdr_GFP_lac_GD_L2_S5R_C3.tif,9.574,255,255,255,2441.332,577830
704,MAX_20220729_Mdr_GFP_lac_GD_L3_S3L_C1.tif,149.958,253.067,0,255,37949.459,8982120
705,MAX_20220729_Mdr_GFP_lac_GD_L3_S3L_C1.tif,7.909,251.731,0,255,1990.989,471240
706,MAX_20220729_Mdr_GFP_lac_GD_L3_S3L_C3.tif,331.202,249.964,0,255,82788.731,19594965
707,MAX_20220729_Mdr_GFP_lac_GD_L3_S3L_C3.tif,3.435,255,255,255,875.906,207315
708,MAX_20220729_Mdr_GFP_lac_GD_L3_S3L_C3.tif,5.712,255,255,255,1456.611,344760
709,MAX_20220729_Mdr_GFP_lac_GD_L3_S3R_C1.tif,139.987,255,255,255,35696.668,8448915
710,MAX_20220729_Mdr_GFP_lac_GD_L3_S3R_C1.tif,116.171,253.85,0,255,29489.91,6979860
711,MAX_20220729_Mdr_GFP_lac_GD_L3_S3R_C3.tif,14.073,255,255,255,3588.736,849405
712,MAX_20220729_Mdr_GFP_lac_GD_L3_S3R_C3.tif,103.014,223.175,0,255,22990.106,5441445
713,MAX_20220729_Mdr_GFP_lac_GD_L3_S3R_C3.tif,167.209,244.104,0,255,40816.354,9660675
714,MAX_20220729_Mdr_GFP_lac_GD_L3_S4L_C1.tif,152.679,252.304,0,255,38521.545,9117525
715,MAX_20220729_Mdr_GFP_lac_GD_L3_S4L_C3.tif,309.583,249.602,0,255,77272.571,18289365
716,MAX_20220729_Mdr_GFP_lac_GD_L3_S4R_C1.tif,13.769,239.899,0,255,3303.232,781830
717,MAX_20220729_Mdr_GFP_lac_GD_L3_S4R_C3.tif,252.216,251.766,0,255,63499.408,15029445
718,MAX_20220729_Mdr_GFP_lac_GD_L3_S4R_C3.tif,5.56,255,255,255,1417.826,335580
719,MAX_20220729_Mdr_GFP_lac_GD_L3_S5L_C1.tif,2.856,255,255,255,728.306,172380
